datetime,open,high,low,close,volume,rsi,macd,macdsignal,macdhist,fastk,fastd
2017-10-17 02:00:00,281.65,281.98,263.47,268.54,57842.205723,54.2858452145,7.29398162454,5.01336873625,2.28061288829,0.0,5.53702765344
2017-10-18 02:00:00,268.54,268.86,246.0,267.59,73428.0287284,53.7691525522,6.74798429254,5.36029184751,1.38769244503,0.0,5.53702765344
2017-10-19 02:00:00,267.6,269.5,259.0,260.18,26820.0902329,49.7885021546,5.65219738807,5.41867295562,0.233524432446,0.0,0.0
2017-10-20 02:00:00,260.18,263.93,252.5,255.0,25206.6949312,47.1601000951,4.3160430055,5.19814696559,-0.882103960099,0.0,0.0
2017-10-21 02:00:00,255.0,256.5,247.21,254.26,29414.4203325,46.7801635086,3.16098138946,4.79071385037,-1.62973246091,0.0,0.0
2017-10-22 02:00:00,254.26,259.79,247.51,250.44,13911.0875787,44.7748297363,1.91526666021,4.21562441234,-2.30035775213,0.0,0.0
2017-10-23 02:00:00,250.44,250.51,235.82,241.77,47798.5510149,40.5283923285,0.225829004407,3.41766533075,-3.19183632634,0.0,0.0
2017-10-24 02:00:00,241.78,266.49,238.61,252.21,51168.7740216,47.0415572427,-0.267557523691,2.68062075986,-2.94817828355,100.0,33.3333333333
2017-10-25 02:00:00,252.21,258.89,249.0,253.0,24978.7164259,47.5100146639,-0.58804488874,2.02688763014,-2.61493251888,100.0,66.6666666667
2017-10-26 02:00:00,252.76,256.59,250.96,254.29,19701.2431574,48.3140127879,-0.729531629006,1.47560377831,-2.20513540732,100.0,100.0
2017-10-27 02:00:00,254.29,256.4,252.53,256.09,19430.0138787,49.4768959627,-0.68847956934,1.04278710878,-1.73126667812,100.0,100.0
2017-10-28 02:00:00,256.09,256.29,250.71,253.57,11361.0153765,47.853625679,-0.849495994738,0.664330488077,-1.51382648282,0.0,66.6666666667
2017-10-29 02:00:00,253.57,266.64,253.0,261.18,30324.0027433,52.8811258834,-0.358902071676,0.459683976127,-0.818586047803,100.0,66.6666666667
2017-10-30 01:00:00,261.18,264.99,260.11,263.0,21743.6374015,54.022799379,0.174741623847,0.402695505671,-0.227953881823,100.0,66.6666666667
2017-10-31 01:00:00,263.0,265.97,258.51,261.57,22689.6780323,52.9374749725,0.476773104684,0.417511025473,0.0592620792102,4.93565711532,68.3118857051
